"Year","Anglian","Argyll","Clyde","Dee","Forth","Humber","NeaghBann","NorthEastScotland","NorthEasternIreland","NorthHighland","NorthWestEngland","NorthWesternIreland","Northumbria","OrkneyandShetlands","Severn","Solway","SouthEastEngland","SouthWestEngland","Tay","Thames","Tweed","WestHighland","WesternWales"
1892,25.1278499336794,39.066699261012,45.7923855052306,36.565842744579,33.2854241286462,37.2894942221506,27.7542612858904,21.1043328575711,24.9947355899364,24.6941477006731,28.0899880638533,27.366172791368,27.5594226745292,26.3105217363456,18.567719135425,35.847233886357,24.6856143676347,59.6776909087887,34.3485049540783,23.4265588617853,21.8420803257533,53.244106325951,31.0343405048978
1893,15.4008154523097,52.2648694461141,33.3916156028288,21.9197028509882,25.6461877071178,20.8010932100336,19.7623142058852,29.4042507593369,17.284171095423,32.1719823260163,23.3123040233375,33.5608018864826,29.32184720016,57.3737916114145,17.8333490373085,28.697068103958,22.7700912701081,26.4402430312911,22.0357643887059,16.9440818341643,30.0688050196974,54.8510007318082,28.3081736627206
1894,24.0540074727785,60.4413449811994,37.400129377752,28.2156122944686,42.6254173581627,18.9594184348045,31.7071747049354,29.743905796841,27.9015198897997,26.3449317030548,31.860343810822,30.9600761669509,22.2549493611721,41.7311306499002,26.0105520205911,48.6841791620551,30.4952765425351,44.6542479295769,42.8076326229737,25.3814078675115,43.4118630667353,40.5571885323551,42.1687691059514
1895,16.2825038280478,40.2413849736191,34.2749761009432,29.0453706070653,25.62904457479,20.1993675031935,29.1073284347074,26.8008986751775,24.1042104573613,28.3867889260198,32.8698627518384,20.0069795041701,36.3410661021101,35.1678734463259,26.3602706673821,41.3313972626384,19.2530958299812,31.5675218242578,28.1635583578125,16.8787424071422,41.0609011379834,39.903086520148,38.7019217796274
1896,19.0365339100369,38.3836306645378,37.5963628307126,25.740036630583,32.3820226627181,16.7723743323435,44.088176755545,23.1409239699604,36.7018072202038,21.1812216188341,21.6114296389971,23.9809842138555,34.8230968944571,30.1409257326829,24.2176247859911,40.1327565077923,25.8715408158417,26.0918463303769,32.6491450211386,17.1363117001195,34.4074477733778,43.4619687519297,38.4067439140875
1897,21.4403673886589,39.6457344546614,46.9440303493882,56.3594540283404,28.77164074047,19.2735928546904,34.4771080657501,22.082920129051,30.4169201425286,21.3255344692841,28.4996746815991,40.0836948932582,23.1433378176606,36.214256483913,24.1827929328096,31.439921238692,20.3399768699217,25.9346338112385,29.1365593063063,17.5345317641825,23.3125008078883,31.1970583513184,44.0996931476449
1898,14.4158857651416,60.1538210798183,43.3768039883752,28.8716632152476,48.0747520170549,17.0750967942888,32.9913467757375,23.5768506711655,28.0564596529801,25.1285265379099,28.2469078384725,32.3193966661985,40.7100352275557,28.7366903917877,25.3364385679217,46.1727544810684,28.6741545775887,35.2868662063141,46.255616892084,18.9419734705574,50.9212508618161,48.10211934522,42.3147325718486
1899,15.7306575419493,50.0701940860402,36.1631645409287,34.6711073972656,32.3689141501381,26.8161134496551,19.8136194189346,21.8667109630186,17.8056806883086,24.6213279094529,28.3845996463077,23.7515763906899,32.1373913362867,38.999684158392,23.9266342849308,34.7829636191874,30.476908149363,31.2133552667728,40.9500041985213,24.3168800328436,28.5445631794225,38.8102265674163,40.611260560632
1900,12.7156739718242,41.7919076864198,26.2297043208329,23.8898154535922,26.7729283516026,24.9382911582165,21.1683664863996,39.4869451045249,16.0618314816072,29.7308099094933,29.9211892665768,31.4979471577687,48.8625666056923,31.6157039654862,27.49381998138,29.4704760689998,23.98805766563,33.0089334543403,36.5205975037736,22.0387332715575,29.0735850017438,39.6629341457026,38.0152767803878
1901,22.8767755220702,40.328806220434,34.8811587126671,32.2116788454483,27.3260139900714,31.2485135138765,35.778209566508,31.1725244485469,27.9627469926909,26.2096508772563,32.9291393242031,22.9278951293384,55.5077534275407,24.5063523534826,47.7837032831981,26.5303548700216,20.0004152492499,38.2706253369329,39.1943110092849,27.0230840722517,26.7953739029146,33.1146772006519,42.897789978113
