"Year","Anglian","Argyll","Clyde","Dee","Forth","Humber","NeaghBann","NorthEastScotland","NorthEasternIreland","NorthHighland","NorthWestEngland","NorthWesternIreland","Northumbria","OrkneyandShetlands","Severn","Solway","SouthEastEngland","SouthWestEngland","Tay","Thames","Tweed","WestHighland","WesternWales"
1981,24.4792995452881,54.5094451904297,37.1071510314941,49.5930328369141,32.3663673400879,29.0558986663818,42.8836517333984,43.8578300476074,46.786994934082,44.2732200622559,32.7285270690918,28.0627384185791,56.1186485290527,38.4612617492676,37.1213417053223,46.5502586364746,31.5983810424805,40.2936096191406,35.9482841491699,26.9355564117432,47.1701011657715,45.7294425964355,46.4120750427246
1982,23.9276294708252,53.1204948425293,52.7437171936035,33.9805755615234,35.5348968505859,36.5428695678711,28.5717830657959,32.5059089660645,33.4339065551758,24.6602325439453,24.9293079376221,42.578987121582,26.3344745635986,23.6423759460449,29.2656593322754,39.8792915344238,27.5149116516113,30.638126373291,38.4837646484375,22.5931777954102,26.1752014160156,43.0063209533691,32.3741760253906
1983,23.9163932800293,48.4352836608887,40.3720436096191,31.0697841644287,37.7918090820312,21.2105751037598,31.1060161590576,35.94580078125,32.4445648193359,27.865478515625,37.3172340393066,31.8233108520508,38.1261672973633,28.701322555542,25.861988067627,46.0340385437012,27.4767093658447,36.4767303466797,32.8514213562012,20.7191829681396,40.8624649047852,44.4265022277832,40.9666709899902
1984,21.4219532012939,36.2693176269531,33.0915107727051,30.8185443878174,30.2568988800049,25.1783924102783,24.0507717132568,39.8591766357422,34.0181732177734,25.5054492950439,29.0785808563232,27.8066120147705,29.830753326416,33.1437644958496,31.9336395263672,35.8899002075195,34.7863388061523,33.9043922424316,58.4939079284668,26.7589683532715,34.9097938537598,26.9870147705078,32.9650039672852
1985,17.9213523864746,40.0110664367676,33.2204895019531,29.1804637908936,40.1165924072266,19.1153125762939,36.1478080749512,33.9186401367188,41.8331871032715,38.3883285522461,27.3088760375977,38.8872566223145,28.2914047241211,27.8641815185547,25.1537551879883,33.7678909301758,23.4571876525879,29.0931358337402,43.8774452209473,24.2543830871582,24.3687229156494,42.0156631469727,34.4666748046875
1986,21.6813583374023,61.7067909240723,36.6935806274414,31.117301940918,32.6462211608887,26.3834228515625,27.7844638824463,19.1145610809326,32.173225402832,46.2834968566895,26.9589157104492,26.4770984649658,29.6423397064209,42.6349334716797,24.1812782287598,28.3758106231689,22.8439407348633,41.3503570556641,34.980640411377,25.5728988647461,28.1443290710449,77.270622253418,32.066535949707
1987,24.3554420471191,46.4888687133789,38.1311531066895,28.2269496917725,25.8857040405273,27.1077842712402,24.7119159698486,19.4491558074951,31.5240707397461,24.754976272583,33.7915725708008,21.1914749145508,33.0698394775391,22.7570419311523,46.5975112915039,35.8298454284668,33.2965202331543,31.3950576782227,28.8014526367188,30.7223205566406,22.1217231750488,31.0744323730469,47.4585304260254
1988,25.1826725006104,38.8636322021484,32.8385848999023,28.3632907867432,31.5148639678955,33.1855201721191,33.1403770446777,35.4752044677734,36.1593551635742,29.1043224334717,30.362340927124,30.9820976257324,26.7888889312744,22.0028457641602,22.7001705169678,36.1125030517578,36.1045989990234,36.7865943908691,32.9446105957031,38.6343383789062,27.6670913696289,39.7863540649414,38.1064872741699
1989,43.3387260437012,43.4082183837891,31.4086875915527,47.8216819763184,28.19557762146,19.6517238616943,42.3302612304688,35.8977432250977,77.0744247436523,57.325366973877,32.1796340942383,29.6510009765625,29.3141250610352,30.5720119476318,26.692310333252,46.595573425293,26.752082824707,24.6691246032715,48.1692924499512,20.235689163208,34.6347160339355,36.264347076416,34.6993865966797
1990,24.4738998413086,45.9004364013672,26.6761608123779,48.4757347106934,26.6434936523438,23.3068752288818,34.3377571105957,22.0374660491943,27.1878108978271,24.6702136993408,43.9982223510742,24.7654933929443,58.9579658508301,21.2402496337891,25.4127750396729,51.1154518127441,34.5845527648926,50.7377128601074,25.8160820007324,18.5513648986816,43.4976692199707,39.8960304260254,64.9526443481445
1991,33.1683464050293,55.6688690185547,42.5723266601562,30.4126110076904,38.8106155395508,31.1027069091797,32.5365104675293,44.6353454589844,41.1325149536133,34.5539321899414,41.489128112793,36.5546913146973,29.4402523040771,24.4568347930908,36.3781471252441,40.4587821960449,37.0392875671387,25.6856803894043,40.839656829834,36.4799385070801,36.0022010803223,54.5136070251465,55.5593070983887
1992,28.7744064331055,45.8137397766113,50.8287887573242,59.5374221801758,50.4703826904297,31.3702373504639,44.4032249450684,38.3238754272461,60.1818466186523,37.376106262207,45.6472663879395,48.866641998291,94.0888748168945,32.1241264343262,31.6695461273193,69.9624481201172,28.9842548370361,44.7978630065918,45.8252906799316,36.5882987976074,91.6394653320312,40.0112686157227,51.1593322753906
1993,17.9964828491211,54.3366355895996,42.5861320495605,25.6606922149658,42.9680976867676,21.3499870300293,21.2326507568359,46.6692543029785,25.9013137817383,49.169319152832,29.8584976196289,28.5381870269775,22.7751617431641,23.9945640563965,26.4618148803711,32.2924728393555,43.3600425720215,27.8141593933105,47.9251899719238,26.4737529754639,44.0915908813477,43.195728302002,40.1955108642578
1994,24.9368076324463,38.9496574401855,37.4863815307617,50.8086967468262,21.7129783630371,35.3621940612793,38.1438293457031,20.1955242156982,39.6925926208496,36.0281715393066,35.8084182739258,40.7640953063965,38.6049385070801,28.7459774017334,38.5513801574707,41.5237464904785,48.4248161315918,26.1300354003906,27.8688011169434,25.0866928100586,29.5338344573975,42.7405281066895,35.2572212219238
1995,16.4787139892578,51.5704650878906,33.3212661743164,33.9057655334473,41.1127510070801,24.0339889526367,27.2472171783447,35.0810585021973,32.863842010498,27.1129302978516,35.7340316772461,34.0717811584473,45.3572044372559,35.5379524230957,22.339262008667,33.6480255126953,28.7806911468506,34.441104888916,27.1579570770264,24.3315830230713,62.0907211303711,36.2129440307617,35.7547378540039
1996,28.9557209014893,52.5749931335449,40.7026863098145,34.6568183898926,35.8074684143066,26.8130798339844,25.2832736968994,26.5803070068359,25.3313083648682,31.288200378418,28.7807693481445,25.7114658355713,43.5769271850586,23.139720916748,28.4157485961914,36.7689094543457,42.340705871582,32.4974594116211,28.5125846862793,35.0269203186035,56.2207565307617,47.7317924499512,33.7060165405273
1997,24.2418098449707,38.4689025878906,38.0273284912109,36.5427513122559,31.7907180786133,24.6820030212402,28.9616012573242,28.3731803894043,25.4685001373291,36.3882751464844,25.4792022705078,34.6031379699707,36.5618896484375,23.8541030883789,28.9278221130371,31.3212947845459,30.4375171661377,28.7665481567383,30.7158298492432,25.9218139648438,29.8776302337646,34.3147888183594,31.6419506072998
1998,41.4588623046875,49.0759353637695,31.7711353302002,40.9479141235352,34.6827812194824,24.3768539428711,24.041259765625,48.1375541687012,28.187162399292,38.720458984375,24.9854125976562,27.7982769012451,54.2698593139648,26.205738067627,35.7752990722656,31.1492576599121,27.6703338623047,35.3699417114258,30.9207382202148,37.7640724182129,34.8261451721191,43.1102066040039,37.7757148742676
1999,21.677848815918,47.0436096191406,44.6071739196777,34.8417701721191,42.9068222045898,22.2040920257568,38.656551361084,34.1489868164062,53.6952323913574,36.2154197692871,34.1840324401855,32.6129684448242,27.1307849884033,25.2133140563965,28.6388149261475,41.9214324951172,30.3252658843994,20.9395542144775,50.8949775695801,34.7115669250488,46.1149520874023,42.7671356201172,30.449462890625
2000,17.8929977416992,35.8701210021973,34.6906127929688,48.2692031860352,30.9314289093018,23.6451950073242,23.7332763671875,23.0247764587402,32.6466026306152,29.8183536529541,30.3968315124512,30.4512538909912,32.4906806945801,24.9752941131592,26.7553100585938,46.4071388244629,28.4635543823242,34.0887832641602,23.7315158843994,20.9981460571289,38.2077102661133,36.844165802002,41.2107963562012
